발생년,발생년월일시,발생분,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반_대분류,법규위반,도로형태_대분류,도로형태,당사자종별_1당_대분류,당사자종별_1당,당사자종별_2당_대분류,당사자종별_2당,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2016,2016103108,25,주간,월,1,1,0,0,0,경기,양평군,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,자전거,자전거,1010411 ,1945061 ,127.61779218,37.50476068
2016,2016110411,10,주간,금,1,4,0,3,0,경기,광주시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,화물차,소형,화물차,소형,977352  ,1929724 ,127.24422771,37.36629875
2016,2016110505,05,야간,토,1,1,0,0,0,서울,관악구,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,단일로,터널안,승용차,경형,,,951203  ,1940865 ,126.94819023,37.46570958
2016,2016103010,00,주간,일,1,1,0,0,0,강원,홍천군,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,중형,,,1057988 ,1980420 ,128.15887982,37.82168193
2016,2016102914,55,주간,토,1,1,0,0,0,경북,경산시,차대차,정면충돌,정면충돌,운전자법규위반,교차로 통행방법 위반,교차로,교차로부근,화물차,중형,이륜차,소형,1121188 ,1765503 ,128.84253347,35.87862041
2016,2016110218,25,야간,수,1,1,0,0,0,경남,거창군,차대사람,길가장자리구역통행중,길가장자리구역통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,보행자,보행자,1039020 ,1739080 ,127.93102823,35.64711483
2016,2016121213,10,주간,월,1,1,0,0,0,경남,창원시(통합),차대차,측면직각충돌,측면직각충돌,운전자법규위반,중앙선 침범,교차로,교차로부근,화물차,대형,화물차,소형,1092027 ,1695703 ,128.51159696,35.25253742
2016,2016121206,40,주간,월,1,1,0,0,0,전북,임실군,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,자전거,자전거,983850  ,1723004 ,127.32192082,35.50280408
2016,2016120819,15,야간,목,1,1,0,0,0,대전,유성구,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,단일로,횡단보도상,승합차,소형,보행자,보행자,990169  ,1825458 ,127.39032764,36.42661005
2016,2016022203,12,야간,월,1,2,1,0,0,서울,양천구,차대차,정면충돌,정면충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,소형,승용차,중형,944245  ,1947548 ,126.86900476,37.52555069
2016,2016022107,55,주간,일,1,1,0,0,0,경남,창원시(통합),차대차,측면직각충돌,측면직각충돌,운전자법규위반,신호위반,교차로,교차로내,원동기장치자전거,원동기장치자전거,승용차,중형,1094461 ,1696458 ,128.5384354,35.25911758
2016,2016022110,30,주간,일,1,1,0,0,0,강원,원주시,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,화물차,중형,보행자,보행자,1039181 ,1926380 ,127.94230473,37.33560607
2016,2016022713,20,주간,토,1,4,2,0,1,부산,금정구,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,경형,,,1146448 ,1695055 ,129.10953273,35.24021426
2016,2016022819,05,야간,일,1,2,1,0,0,세종,세종,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,,,980282  ,1830224 ,127.27990977,36.46942425
2016,2016022817,35,주간,일,1,1,0,0,0,경북,경산시,차대차,측면직각충돌,측면직각충돌,운전자법규위반,신호위반,교차로,교차로내,이륜차,소형,승용차,중형,1121228 ,1755832 ,128.84150799,35.79144386
2016,2016022706,27,주간,토,1,1,0,0,0,경기,부천시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,934593  ,1945984 ,126.75991729,37.51082044
2016,2016022713,40,주간,토,1,1,0,0,0,경북,칠곡군,차대사람,보도통행중,보도통행중,운전자법규위반,기타(운전자법규위반),교차로,교차로부근,승용차,중형,보행자,보행자,1080782 ,1778031 ,128.39624706,35.99572839
2016,2016021600,25,야간,화,1,4,0,3,0,인천,서구,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,고가도로위,고가도로위,승용차,소형,승용차,중형,926641  ,1942925 ,126.67025339,37.48265252
2016,2016021002,15,야간,수,1,1,0,0,0,서울,광진구,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,원동기장치자전거,,,962922  ,1948748 ,127.08031059,37.5373069
2016,2016020713,00,주간,일,1,1,0,0,0,대구,동구,차대차,측면직각충돌,측면직각충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,중형,자전거,자전거,1103161 ,1772355 ,128.64375599,35.94245216
2016,2016021607,57,주간,화,1,1,0,0,0,경남,거제시,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,교차로,교차로부근,화물차,소형,보행자,보행자,1104602 ,1655476 ,128.64472715,34.88863558
2016,2016021901,52,야간,금,1,1,0,0,0,경기,수원시,차대사람,횡단중,횡단중,운전자법규위반,과속,단일로,기타단일로,승용차,대형,보행자,보행자,962126  ,1916558 ,127.07294999,37.24712741
2016,2016021710,05,주간,수,1,3,2,0,0,전북,전주시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,,,966182  ,1753770 ,127.13344482,35.8077904
2016,2016022407,50,주간,수,1,2,0,1,0,서울,동작구,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,중형,승용차,대형,952380  ,1944162 ,126.95964464,37.49691618
2016,2016022506,00,주간,목,1,1,0,0,0,경기,안산시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,보행자,보행자,942151  ,1922854 ,126.84724218,37.3028495
2016,2016022311,15,주간,화,1,1,0,0,0,서울,금천구,차대차,측면직각충돌,측면직각충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,중형,이륜차,소형,944921  ,1943004 ,126.87722576,37.48412042
2016,2016022720,55,야간,토,1,1,0,0,0,제주,서귀포시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,보행자,보행자,907294  ,1473619 ,126.50480358,33.24991002
2016,2016022719,15,야간,토,1,1,0,0,0,인천,연수구,차대사람,보도통행중,보도통행중,운전자법규위반,보행자 보호의무 위반,단일로,기타단일로,승용차,중형,보행자,보행자,925428  ,1936733 ,126.65716129,37.42674838
2016,2016022614,33,주간,금,1,1,0,0,0,경기,부천시,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,교차로,교차로내,승용차,경형,보행자,보행자,938565  ,1942656 ,126.80513548,37.48109819
2016,2016022610,56,주간,금,1,1,0,0,0,경북,예천군,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,대형,보행자,보행자,1083753 ,1858803 ,128.43790172,36.72357267
2016,2016022503,30,야간,목,1,1,0,0,0,부산,기장군,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,,,1154210 ,1696684 ,129.19510832,35.25373685
2016,2016022608,35,주간,금,1,1,0,0,0,서울,강동구,차대사람,횡단중,횡단중,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,경형,보행자,보행자,967986  ,1950914 ,127.13753484,37.55701975
2016,2016030414,45,주간,금,1,1,0,0,0,서울,노원구,차대차,측면직각충돌,측면직각충돌,운전자법규위반,신호위반,교차로,교차로내,승용차,대형,이륜차,중형,963740  ,1958173 ,127.0891028,37.62228991
2016,2016030419,45,야간,금,1,1,0,0,0,충북,청주시,차대사람,횡단중,횡단중,운전자법규위반,신호위반,단일로,횡단보도상,승용차,중형,보행자,보행자,1000955 ,1854427 ,127.51068968,36.68781844
2016,2016030811,35,주간,화,1,1,0,0,0,울산,울주군,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승합차,경형,,,1157028 ,1735057 ,129.23346844,35.59914278
2016,2016030709,00,주간,월,1,1,0,0,0,세종,세종,차대사람,기타,기타,운전자법규위반,과속,단일로,터널안,화물차,소형,보행자,보행자,980015  ,1830088 ,127.27693307,36.46819265
2016,2016030705,00,야간,월,1,1,0,0,0,대구,동구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,횡단보도상,승용차,경형,보행자,보행자,1101604 ,1765868 ,128.6257574,35.88414312
2016,2016030712,30,주간,월,1,1,0,0,0,전남,화순군,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,농기계,농기계,,,948660  ,1667375 ,126.93738304,35.0000214
2016,2016030713,00,주간,월,1,1,0,0,0,서울,성동구,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,교차로,교차로내,특수차,대형,보행자,보행자,958860  ,1950648 ,127.03422721,37.55425981
2016,2016021223,25,야간,금,1,1,0,0,0,경북,영주시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,경형,보행자,보행자,1092178 ,1873179 ,128.53397492,36.85236687
2016,2016020823,25,야간,월,1,2,1,0,0,경기,고양시,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,,,937942  ,1964497 ,126.79623901,37.67790652
2016,2016021722,30,야간,수,1,2,1,0,0,울산,북구,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,화물차,소형,1170886 ,1729089 ,129.38511825,35.54306379
2016,2016021718,30,야간,수,1,1,0,0,0,전북,부안군,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,기타/불명,기타/불명,승용차,경형,보행자,보행자,930612  ,1747328 ,126.73282591,35.71980808
2016,2016021800,28,야간,목,1,1,0,0,0,충북,청주시,차대사람,횡단중,횡단중,운전자법규위반,과속,단일로,횡단보도상,승용차,대형,보행자,보행자,996258  ,1849482 ,127.4592785,36.64316007
2016,2016021819,22,야간,목,1,3,2,0,0,충북,청주시,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,중형,,,1002039 ,1859745 ,127.52283749,36.73575779
2016,2016021822,10,야간,목,1,3,2,0,0,경남,거제시,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,소형,승용차,중형,1107901 ,1657849 ,128.68112981,34.90968447
2016,2016022417,10,주간,수,1,3,2,0,0,경기,파주시,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,중형,건설기계,건설기계,943271  ,1978849 ,126.85554763,37.80760226
2016,2016022915,40,주간,월,1,2,1,0,0,전남,완도군,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,,,915584  ,1578285 ,126.583812,34.19448733
2016,2016022819,10,야간,일,1,2,1,0,0,경기,평택시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,959849  ,1890865 ,127.04865386,37.01543666
2016,2016022621,00,야간,금,1,2,1,0,0,충남,서산시,차량단독,도로이탈,도로이탈 추락,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,경형,,,907920  ,1867076 ,126.46786333,36.7973687
2016,2016022511,42,주간,목,1,1,0,0,0,경기,수원시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,화물차,중형,보행자,보행자,957197  ,1916032 ,127.01740476,37.24217271
2016,2016021611,00,주간,화,1,1,0,0,0,서울,마포구,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,대형,보행자,보행자,951279  ,1949658 ,126.94846688,37.54496701
2016,2016022119,45,야간,일,1,1,0,0,0,전남,순천시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,1004449 ,1663280 ,127.54873417,34.96438886
2016,2016030106,15,주간,화,1,1,0,0,0,충남,예산군,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,자전거,자전거,승합차,대형,939754  ,1860570 ,126.82518049,36.74128393
2016,2016022920,10,야간,월,1,1,0,0,0,경기,평택시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,소형,보행자,보행자,960685  ,1898369 ,127.05765889,37.08311372
2016,2016030113,50,주간,화,1,1,0,0,0,서울,동대문구,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,화물차,경형,960866  ,1954442 ,127.05662844,37.5885892
2016,2016030722,40,야간,월,1,2,1,0,0,강원,원주시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,경형,승용차,경형,1041512 ,1924380 ,127.9685061,37.31747751
2016,2016030708,48,주간,월,1,1,0,0,0,경북,안동시,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,경형,,,1101401 ,1832051 ,128.63197068,36.48072862
2016,2016030606,20,주간,일,1,1,0,0,0,충북,진천군,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,996428  ,1873347 ,127.45992857,36.8583717
2016,2016030619,55,야간,일,2,2,0,0,0,경북,청송군,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,승합차,경형,화물차,소형,1140449 ,1819317 ,129.06544311,36.36104043
2016,2016030619,05,야간,일,2,2,0,0,0,대구,달성군,차대사람,횡단중,횡단중,운전자법규위반,과속,단일로,기타단일로,승용차,대형,보행자,보행자,1103958 ,1751284 ,128.64984531,35.75242631
2016,2016030516,05,주간,토,1,7,3,3,0,전남,광양시,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,중형,승용차,대형,1015924 ,1662314 ,127.67441209,34.95556251
2016,2016021403,40,야간,일,1,1,0,0,0,서울,송파구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,고가도로위,고가도로위,승용차,중형,보행자,보행자,966828  ,1940982 ,127.12487243,37.46745715
2016,2016021304,08,야간,토,1,2,0,1,0,서울,마포구,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,951596  ,1951000 ,126.95196668,37.55707939
2016,2016021318,30,야간,토,1,1,0,0,0,충남,천안시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,경형,보행자,보행자,968380  ,1870480 ,127.14540277,36.83200464
2016,2016022219,04,야간,월,1,1,0,0,0,전북,전주시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,대형,보행자,보행자,970000  ,1760390 ,127.1678108,35.83956494
2016,2016030223,00,야간,수,1,1,0,0,0,충남,당진시,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,경형,,,926820  ,1882164 ,126.67823834,36.9350172
2016,2016030709,10,주간,월,1,1,0,0,0,경남,사천시,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,보행자,보행자,1052042 ,1663093 ,128.07004195,34.96137461
2016,2016030814,50,주간,화,1,1,0,0,0,서울,성동구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,건설기계,건설기계,보행자,보행자,960069  ,1949132 ,127.04799721,37.54064883
2016,2016030501,11,야간,토,1,1,0,0,0,경북,경산시,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,승용차,중형,1120660 ,1770221 ,128.837401,35.92121196
2016,2016030520,43,야간,토,1,1,0,0,0,경북,포항시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,1168459 ,1781230 ,129.36932802,36.01334757
2016,2016021515,15,주간,월,1,2,0,1,0,부산,강서구,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,터널안,화물차,소형,화물차,중형,1116594 ,1669732 ,128.77792929,35.01585074
2016,2016021417,32,주간,일,1,2,1,0,0,서울,송파구,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,대형,건설기계,건설기계,962500  ,1945071 ,127.07572176,37.5041476
2016,2016021918,45,야간,금,1,1,0,0,0,경남,양산시,차대차,측면직각충돌,측면직각충돌,운전자법규위반,안전거리 미확보,교차로,교차로부근,승용차,소형,이륜차,대형,1139595 ,1706973 ,129.03626359,35.34862286
2016,2016021906,20,주간,금,1,1,0,0,0,전남,순천시,차대차,측면직각충돌,측면직각충돌,운전자법규위반,신호위반,교차로,교차로내,이륜차,소형,승용차,경형,1002283 ,1661210 ,127.52500223,34.94572982
2016,2016020920,38,야간,화,1,1,0,0,0,경남,통영시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,1084366 ,1648728 ,128.42262042,34.82967601
2016,2016020813,30,주간,월,1,4,3,0,0,경북,김천시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,,,1057402 ,1776229 ,128.13674119,35.98114012
2016,2016021506,45,주간,월,1,10,6,3,0,전남,강진군,차대차,측면직각충돌,측면직각충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,대형,승합차,경형,929528  ,1622177 ,126.73152759,34.59132158
2016,2016022320,45,야간,화,1,3,1,1,0,경남,진주시,차대차,측면직각충돌,측면직각충돌,운전자법규위반,안전거리 미확보,단일로,기타단일로,승용차,소형,승용차,소형,1055142 ,1684326 ,128.1054077,35.15266534
2016,2016030810,00,주간,화,1,1,0,0,0,전북,부안군,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,소형,,,927498  ,1738275 ,126.68131013,35.64517846
2016,2016030721,20,야간,월,1,1,0,0,0,경기,남양주시,차대차,기타,기타,운전자법규위반,신호위반,교차로,교차로내,승합차,경형,이륜차,소형,973774  ,1966608 ,127.20250287,37.69865825
2016,2016030522,29,야간,토,1,1,0,0,0,부산,북구,차대차,기타,기타,운전자법규위반,중앙선 침범,단일로,기타단일로,자전거,자전거,승용차,중형,1137667 ,1697076 ,129.01337343,35.25968549
2016,2016030811,04,주간,화,1,1,0,0,0,전북,부안군,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,단일로,횡단보도상,화물차,소형,보행자,보행자,931018  ,1748377 ,126.73722426,35.72929393
2016,2016030411,28,주간,금,1,1,0,0,0,경북,고령군,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,소형,보행자,보행자,1069632 ,1748419 ,128.26996625,35.72962681
2016,2016031114,40,주간,금,1,1,0,0,0,경남,양산시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,화물차,소형,보행자,보행자,1149686 ,1711806 ,129.14816251,35.39072115
2016,2016031303,05,야간,일,2,2,0,0,0,서울,중구,차대차,측면직각충돌,측면직각충돌,운전자법규위반,신호위반,교차로,교차로내,이륜차,중형,승용차,대형,955674  ,1952037 ,126.99807367,37.56663139
2016,2016031300,20,야간,일,1,1,0,0,0,대전,대덕구,차대사람,횡단중,횡단중,운전자법규위반,과속,단일로,기타단일로,승용차,중형,보행자,보행자,992884  ,1816351 ,127.42069893,36.34453121
2016,2016021421,10,야간,일,2,10,0,8,0,강원,속초시,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,교차로,교차로부근,승용차,중형,승합차,경형,1089979 ,2023090 ,128.52768375,38.20360602
2016,2016021316,15,주간,토,1,1,0,0,0,강원,평창군,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,경형,,,1096531 ,1964197 ,128.59460425,37.67222263
2016,2016021311,10,주간,토,1,1,0,0,0,부산,진구,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,단일로,횡단보도상,화물차,소형,보행자,보행자,1140398 ,1685614 ,129.04146943,35.15606386
2016,2016022010,40,주간,토,1,4,3,0,0,대구,북구,차대사람,보도통행중,보도통행중,운전자법규위반,기타(운전자법규위반),단일로,기타단일로,승용차,중형,보행자,보행자,1098477 ,1766130 ,128.59095193,35.88664519
2016,2016022004,57,야간,토,1,1,0,0,0,충북,음성군,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,보행자,보행자,995704  ,1887594 ,127.4517257,36.9867989
2016,2016031307,15,주간,일,1,3,0,2,0,전북,군산시,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,화물차,소형,화물차,소형,928558  ,1773737 ,126.7076987,35.95654562
2016,2016032023,40,야간,일,1,1,0,0,0,경북,영천시,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,중형,,,1128941 ,1773399 ,128.92967894,35.94879861
2016,2016031911,58,주간,토,1,1,0,0,0,충남,아산시,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,대형,,,943213  ,1861313 ,126.86386748,36.74819491
2016,2016031805,10,야간,금,1,1,0,0,0,부산,강서구,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,소형,특수차,대형,1125175 ,1677115 ,128.87310941,35.08885799
2016,2016031717,10,주간,목,1,1,0,0,0,전남,화순군,차대차,측면직각충돌,측면직각충돌,운전자법규위반,교차로 통행방법 위반,교차로,교차로내,이륜차,소형,승용차,경형,944155  ,1663404 ,126.88828309,34.96397624
